JUDUL,PENULIS,RATING_AVG,TOTAL_RATINGS,TOTAL_REVIEWS,GENRES,PENERBIT,TAHUN_TERBIT,NAMA_FILE_GAMBAR,warna_h,warna_s,warna_v,warna_r,warna_g,warna_b,warna_kategori,warna_hex_dominan,POPULARITY_SCORE
Durga/Umayi: A Novel,Y.B. Mangunwijaya,3.71,238.0,29.0,"Sastra Indonesia, Fiksi, Dunia, Asia, Novel, Sastra, Indonesian Literature",University of Washington Press,2004,2004_University_of_Washin_DurgaUmayi_A_Novel.jpg,,,,,,,,,3.8037903164871896
Burung-Burung Manyar,Y.B. Mangunwijaya,4.16,4102.0,442.0,"Fiksi, Sastra Indonesia, Novel, Fiksi Historis, Sastra, Klasik, Roman, Indonesian Literature",Djambatan,2004,2004_Djambatan_Burung-Burung_Manyar.jpg,,,,,,,,,3.884768778748067
Grasshopper,Yanti Soeparmo,3.46,26.0,0.0,Indonesian Literature,DAR Mizan,2003,2003_DAR_Mizan_Grasshopper.jpg,,,,,,,,,3.846244074124887
Biosphere III,Yanti Soeparmo,3.29,7.0,0.0,Indonesian Literature,DAR! Mizan,2004,2004_DAR!_Mizan_Biosphere_III.jpg,,,,,,,,,3.866998968330365
Tersesat Setelah Terlahir Kembali,Yoga Zen,2.53,55.0,27.0,"Novel, Sastra Indonesia, Indonesian Literature",Marjin Kiri,2025,2025_Marjin_Kiri_Tersesat_Setelah_Terlahir_Kemb.jpg,,,,,,,,,3.665122568969849
Toko Buku Abadi,Yudhi Herwibowo,3.83,119.0,37.0,"Novel, Fiksi, Indonesian Literature",Penerbit Baca,2024,2024_Penerbit_Baca_Toko_Buku_Abadi.jpg,,,,,,,,,3.866107640827608
99 Sajak,Yudhistira A.N.M. Massardi,3.48,29.0,6.0,"Puisi, Sastra Indonesia, Indonesian Literature",KPG (Kepustakaan Populer Gramedia),2015,2015_KPG_(Kepustakaan_Pop_99_Sajak.jpg,,,,,,,,,3.844425591100929
Sepotong Kata Maaf,Yunisa K.D.,3.0,27.0,7.0,"Novel, Sastra Indonesia, Indonesian Literature",Grasindo,2013,2013_Grasindo_Sepotong_Kata_Maaf.jpg,,,,,,,,,3.8057500217165874
Rumah Kopi Singa Tertawa,Yusi Avianto Pareanom,4.04,866.0,176.0,"Cerita Pendek, Fiksi, Sastra Indonesia, Antologi, Contemporary, Sastra, Humor, Indonesian Literature",Banana,2011,2011_Banana_Rumah_Kopi_Singa_Tertawa.jpg,,,,,,,,,4.000180432259572
Raden Mandasia si Pencuri Daging Sapi,Yusi Avianto Pareanom,4.58,1627.0,432.0,"Fiksi, Fantasi, Fiksi Historis, Sastra Indonesia, Novel, Petualangan, Dewasa, Indonesian Literature",Banana Publisher,2016,2016_Banana_Publisher_Raden_Mandasia_si_Pencuri_Dagi.jpg,,,,,,,,,3.883371040027117
Pengantin-pengantin Loki Tua,Yusi Avianto Pareanom,4.33,217.0,59.0,"Fiksi, Fantasi, Sastra Indonesia, Novel, Fiksi Historis, Petualangan, Indonesian Literature",Banana Publisher,2023,2023_Banana_Publisher_Pengantin-pengantin_Loki_Tua.jpg,,,,,,,,,4.073438902455053
